id,name,difficulty,mainmuscle,equipment,target,secondarymuscles,instruction
356e6d15-f333-4378-90d0-9f33618d9104,cable seated row,intermediate,trapezius,machine - Strength,upper back,deltoids,"Targeting the large muscles in your back, the cable seated rows are an effective and beneficial back exercise.

Steps :

1.) Start by sitting at a low pulley machine with your feet rested against the footrests or floor in front of you and keeping your feet slightly bent.

2.) Keeping your abs tight and your back straight, sit in an upright position.

3.) Slightly lean forward and grab onto the pulleys

4.) Once you have a grip on the pulleys, keep your elbows at your chest and slowly bring them back.

5.) Pause at the top of the exercise and squeeze your back muscles.

6.) Hold for a count then return back to the starting position.

Tips :

1.) It is important to keep your back upright throughout the entire exercise."
e6dd7990-b6b5-41ee-9073-82296203446e,barbell inverted row,intermediate,trapezius,barbell,upper back,biceps,"Steps :

1.) Start by setting up a a bar on a power rack or smith machine and then position your body underneath keeping your body straight and legs extended out in front of you.

2.) Grab the bar with a shoulder width grip and then slowly pull yourself up to the bar as far as possible, bringing yourself to up around chest level.

3.) Hold for a count while squeezing your back muscles and then return back to the starting position.

4.) Repeat for as many reps and sets as desired."
57edbb60-f422-43e3-b2b1-53bac439791a,superman,beginner,lower back,body only,lower back,lower back,"The superman exercise is great for the lower stretching and strengthening back and core muscles.

Steps :

1.) Start by lying flat on your stomach with your arms stretched out in front of you.

2.) Slowly raise your arms and legs up off of the floor and hold onto this position for a few seconds until you feel a tight stretch in your core and back muscles.

3.) Return back to the starting position."
466594da-b44f-4637-986d-2bbb41d38ad9,t bar row,intermediate,trapezius,barbell,upper back,biceps,"The T-Bar Row exercise is good for helping build strength and the major muscles of your back.

Steps :

1.) Start off by placing your feet at each side of the T-Bar Machine, keeping your knees slightly bent, abs tight and grabbing the handles of the machine with a narrow grip.

2.) Slowly bend at your waist so that your torso is almost parallel with the floor as this will be your starting position.

3.) From this position, pull the bar up towards your chest in a slow and controlled manner and continue for as high as you are able to.

4.) Once you reach the top position, hold for a count, squeezing your back muscles and return back to the starting position.

Tips :

1.) While performing this exercise keep your elbows close to your body."
235a4a2c-dfd8-428e-9235-06da85e75ecd,dumbell concentration curl,beginner,biceps,dumbbell,upper arms,forearms,"The dumbbell concentration curl exercise limits you range of motion and concentrates on isolating the bicep muscle.

Steps :

1.) Start by sitting on the end of a flat bench with your feet flat and your legs spread in a V position.

2.) Grab a dumbbell in one of your hands with a palms up grip, placing this arm in between your legs and up against your inner thigh just above your knee.

3.) Slowly curl the weight up towards your chest, squeezing your bicep on the motion upward and once you reach the top, hold the position for a count.

4.) Return back to the starting position and repeat for as many reps and sets as desired.

5.) Switch arms and repeat the same steps."
d7d9fc69-ef81-4d81-a75c-e55152ec0842,barbell curl,beginner,biceps,barbell,upper arms,forearms,"The barbell curl is a basic bicep exercise that helps increase the size of the muscles.

Steps :

1.) Start off standing up straight with your feet shoulder-width apart, keeping your knees slightly bent and abs drawn in tight.

2.) Grab a barbell with a shoulder width underhand (palms up) grip, lowering your arms down to your thighs fully and bending slightly at your elbows as this will be your starting position.

3.) Slowly raise the bar towards your upper chest, squeezing your muscles and isolating the biceps.

4.) Hold this position for a count and then return back to the starting position.

Tips :

1.) Refrain from swinging your hips or back during this exercise."
c44790da-4881-4efb-b2b9-089ec2be3218,barbell preacher curl,beginner,biceps,barbell,upper arms,forearms,"The preacher curl exercise uses a special bench to help support the triceps and isolate the biceps to build bigger arms.

Steps :

1.) Start off by adjusting the seat of a preacher bench so that your arms are level with the top of the bench.

2.) Grab onto a bicep curl bar with an underhand (palms up) grip, keeping your arms shoulder-width apart, resting them against the bench, and extending them fully.

3.) While keeping your arms on the bench, slowly curl the bar up towards your head, isolating the bicep and squeezing the muscles.

4.) Hold for a count and then return back to the starting position.

Tips

1.) Perform this exercise in a slow manner to attain the best results."
48c43c3f-7963-4024-80db-f6e6cd4b53d0,barbell spider curl,intermediate,biceps,barbell,upper arms,forearms,"The spider curl exercise utilizes the straight side of a preacher bench to increase the range of motion of the exercise.

Steps :

1.) Start off by taking a preacher bench and turning it around so that you are leaning up against the angled side.

2.) Grab onto a barbell with a palms up close grip, then lean up against the bench and lower the bar on the flat side and fully extend your arms.

3.) Slowly curl the bar up, isolating the biceps, until they touch your forearms.

4.) Hold onto this position for a count then return back to the starting position.

5.) Repeat for as many reps and sets as desired."
4a9d34a9-048d-4562-ae46-c0fd5d2d7d61,bicep stretch,beginner,biceps,body only,upper arms,forearms,"Steps :

1.) Start by standing up straight, extending your arms behind you and grabbing your hands together behind your back.

2.) Slowly raise your arms, turn your hands so that your palms are facing outward, and feel a stretch in your bicep.

3.) Hold for 15 to 30 seconds then return back to the starting position.

4.) Repeat for as many reps and duration as desired."
b4e88fb0-fc66-4959-bd77-d408694e8c85,cable overhead curl,advanced,biceps,machine - Strength,upper arms,forearms,"The overhead cable curl exercise helps isolate and define the biceps.

Steps :

1.) Start off by attaching a stirrup handle to each side of two high pulley cable machines and grab the handles with an under-hand grip (palms up), standing in between the machines with your feet shoulder width apart as this will be your starting position.

2.) Once in position extend your arms out to your sides, keeping your elbows steady and then slowly curl your biceps towards the side of your head, isolating and squeezing the biceps.

3.) Hold this position for a count while squeezing your biceps and then return back to the starting position."
cb5c3da3-2cd7-43c1-82f3-86ad2818c1f0,cable seated curl,advanced,biceps,machine - Strength,upper arms,forearms,"Steps :

1.) Start by sitting up straight on a bench in front of a low pulley cable machine with a straight bar attached to the machine, with your arms rested at your sides and feet flat on the floor.

2.) Grab the bar in an underhand grip then slowly raise it up towards your shoulders, isolating the bicep and hold for a count.

3.) Return back to the starting position.

4.) Repeat for as many reps and sets as desired."
ac08bbf6-4544-41b9-9ef1-5eb95e861162,dumbell alternating bicep curl,intermediate,biceps,dumbbell,upper arms,forearms,"Steps :

1.) Start by standing with your feet shoulders width apart.

2.) Pick up the barbells using a palm inward grip.

3.) Curl each barbell alternating each time.

4.) Repeat for the desired amount of reps."
e393d77b-64c2-427b-a744-2932b40f3867,dumbell alternating hammer curl,intermediate,biceps,dumbbell,upper arms,forearms,"The alternate hammer curl exercise uses a hammering (up and down) motion to isolate the biceps and to build bigger arms.

Steps :

1.) Start off standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs drawn in tightly.

2.) Grab a dumbbell in each hand with your palms facing inward and extend your arms out at the sides of your body.

3.) While keeping your elbows locked in at your sides, slowly lift your left arm in an arc motion towards your left shoulder, isolating the bicep and squeeze the muscle.

4.) Hold for a count and return back to the starting position.

5.) Repeat the same steps with your right arm for as many reps and sets as desired.

Tips :

1.) Refrain from turning your wrists during this exercise."
8fde042d-e865-4270-89ac-b71ccbaa0e08,dumbell alternating incline curl,advanced,biceps,dumbbell,upper arms,forearms,"The alternate incline dumbbell curl exercise uses an incline bench to change your body's position as you perform this workout.

Steps :

1.) Start off by taking either a pre-set incline bench or an adjustable bench and setting it to a 45 degree angle.

2.) Grab a dumbbell in each hand, sit back on the bench with your feet planted firmly on the floor in front of you and hand your arms down at your sides.

3.) Keeping your elbows straight, raise your right arm up towards your head, isolating the bicep and squeezing the muscle.

4.) Hold the position for a count then lower down to the starting position.

5.) Repeat the same steps with your left arm."
c3ee8657-f917-4d91-ab57-25949a684fb1,barbell bench press,intermediate,pectorals,barbell,chest,triceps,"Bench press is a great exercise for building a powerful chest.

The bench press is one of the power exercises, known to be very effective for building body mass. Learning how to do a proper bench press is well worth the effort.


Steps :

1.) Lie with your back flat on a bench with your feet firmly on the ground and the bar resting on the bench’s rack.

2.) Slowly lift the bar off the rack and hold it above your chest as this will be the starting position.

3.) Then lower the bar down until it is slightly above your chest, making sure that it doesn't touch or slam against your chest.

4.) Hold this position briefly and make sure you have complete control of the bar, then raise it back up to the starting postion.

3.) Place the bar on the rack and that will complete your set.

Tips :

1.) By changing the width of the grip on the bar will change the focus and targeting of the exercise. Using a medium grip is the most common grip on the bar which is slightly wider than shoulder-width that is typically marked on the bar.

2.) Using a spotter while performing this exercise is essential to make sure that the bar doesn't drop onto your chest and a spotter can provide motivation to lift more weight.

3.) The most important thing about the bench press exercise is using a weight that you can manage while maintaining proper form. Many individuals try to lift more weight than they can manage which results in injuring and incorrectly performing the exercise."
da7eed99-45b5-483a-9f12-0c523ef0ff20,barbell decline bench press,intermediate,pectorals,barbell,chest,triceps,"This version of the bench press exercise utilizes a decline bench so that the lower part of the chest is targeted.

Steps :

1.) Start off lying on a decline bench so that your head is lower than your feet.

2.) Grab onto the barbell with an overhand shoulder-width grip and hold it directly above your chest as this will be your starting position.

3.) Then slowly lower the bar until it is just above your chest, stop and hold for a second then return back to the starting position.

4.) Repeat for as many reps and sets as desired.

Tips :

1.) Concentrate on using your chest for this bench press. You should feel as if the lifting is coming from your elbows.

1.) Make sure that your feet are flat on the floor and you are balanced so that the bar does not drop on your chest.

2.) Use a weight that you are able to balance and manage.

3.) When stopping the barbell on the downward motion, make sure that you stop the barbell slightly above your chest so that it doesn't bounce or touch your chest."
ede67e20-1f81-45b8-a8a4-05caa3d3c451,barbell incline bench press,intermediate,pectorals,barbell,chest,triceps,"The barbell incline bench press is a variation of the bench press exercise that targets your upper chest by using an incline bench with an incline angle.

Steps :

1.) Start off setting up your incline bench to a 45-degree angle or use a pre-designed incline bench press bench.

2.) Then lie flat on your back on the bench with your feet firmly planted on the floor gripping the barbell with a slightly wider than shoulder-width apart.

3.) Lift the bar off of the rack and hold it right above your chest as this will be your starting position.

4.) Slowly lower the bar until it almost touches you and you feel a stretch in your chest, and hold the position for a count.

5.) Return back up to the starting position and repeat for as many reps and sets as desired.

Tips :

1.) Do not lock your elbows when you are in the starting position and make sure that you use a slow controlled motion without touching your chest while performing this exercise."
a1f8c689-4160-4167-b5d5-5b7e6e81df16,dumbell fly,intermediate,pectorals,dumbbell,chest,deltoids,"The dumbbell fly exercise targets your pecs with more focus than the standard dumbbell bench press as well as focusing upon the inner part fo your pecs.

Steps :

1.) Start off lying on a flat bench with your arms out to your sides holding a dumbbell in each hand at shoulder height.

2.) Push the dumbbells up from their position using your chest and bring your arms up, without using them for lifting, until the dumbbells are directly above your chest.

3.) Once in the top position, your elbows should be facing outwards and palms facing inwards, squeeze your chest muscles and hold for a count.

4.) Return back to the starting position and repeat for as many reps and sets as desired.

Tips :

1.) It is important to concentrate on using your chest to perform this exercise."
f283bd16-c7d0-4f26-b370-0f82c44ce501,cable upper chest crossover,intermediate,pectorals,machine - Strength,chest,deltoids,"Steps :

1.) Start by setting up handles on a high cable pulley machine, standing in the middle of the machines, grabbing the handles with both of your hands and keeping them extended above your head.

2.) Slowly move your arms in a circular motion and bring them out in front of your body at head level.

3.) Hold for a count then return back to the starting position.

4.) Repeat for as many reps and sets as desired."
07926830-8729-4bff-92c2-40ef9f67a818,cable straight arm crossover,advanced,pectorals,machine - Strength,chest,deltoids,"Steps :

1.) Start by setting up two handles on a two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body.

2.) Slowly bring the handles down and together in front of your body, squeezing your chest and hold for a count.

3.) Return the handles back to the starting position.

4.) Repeat for as many reps and sets as desired."
8fa89d82-acb8-4ad9-91b4-120cd9ab28f8,push up,intermediate,pectorals,body only,chest,triceps,"The push up exercise is one of the best exercises available for building a strong chest, arms, core and back.

Steps :

1.) Start off by lying face down on the floor or on a mat with your feet together and arms shoulder width apart.

2.) Slowly draw your abs in, inhale and raise your body off of the floor until your arms are straight, keeping your head and neck level with your body as this will be your starting position.

3.) As you lower yourself down towards the ground, exhale until your chest almost touches the ground and you feel a stretch in your chest muscles.

4.) Hold for a count at the bottom position and then return back up to the starting position.

Tips :

1.) A close grip works more of the inner pectorals and a wide grip works more of the outer pectorals."
b1711e0a-7dd4-41bc-93f7-478e5964ce5d,bench push up,intermediate,pectorals,body only,chest,deltoids,"Steps :

1.) Start by setting up a bench horizontally getting yourself in a push-up position so that your arms are extended, in a shoulder-width position on the floor with your feet extended behind you with toes on the bench.

2.) Slowly lower your body down towards the bench so that your chest is almost touching then hold for a count.

3.) Return back to the starting position.

4.) Repeat for as many reps and sets as desired."
fa66a46e-4bf7-49fa-9ed8-47ce9619b163,dumbell pullover,advanced,pectorals,dumbbell,chest,triceps,"Steps :

1.) To begin this exercise; start off by placing a dumbbell standing up on a flat bench.

2.) With the dumbbell standing up, lie your shoulders flat down upon the surface of the bench with your hips below and your legs bent so that your feet are firmly upon the floor.

3.) Take the dumbbell with one hand and lift it straight up over your chest as the palms rest on the underside of one of the sides of the dumbbell.

4.) Lower the weight down in an arc behind your head, stretching out your chest and hold for a few seconds.

5.) Return the dumbbell back to the starting position.

6.) Repeat this exercise for as many repetitions as needed.

Tips :

1.) Use a spotter if need be with heavier weights as there might be a struggle to return back up to the standing position."
50079d95-5aff-4b97-ac6e-1c7df11c6f86,dynamic chest stretch,intermediate,pectorals,body only,chest,deltoids,"Steps :

1.) Start by standing up straight with your arms at your side and feet shoulder width apart.

2.) Extend your hands out in front of you palms together then quickly move your arms back as far as possible.

3.) Return back to the starting position quickly and repeat for as man reps and sets as desired."
9b1f5d4b-b65e-415a-8d8f-5f9761e190a2,barbell reverse curl,beginner,forearms,barbell,lower arms,forearms,"Steps :

1.) Stand with your feet shoulders width apart.

2.) Bending at the knees pick up barbell.

3.) With your palms facing downward lift the barbell to your chest while remaining up straight.

4.) Do not bend your upper arms but bend only at your elbows, with your forearms moving.

5.) Keep your wrist straight while raising and lowering the barbell.

6.) Repeat for the desired amount of reps.

7.) After the set bend at your knees to set the barbell down"
7bc0df2f-30de-4688-afaf-e89ffd87d55a,barbell reverse wrist curl,beginner,forearms,barbell,lower arms,forearms,"Steps :

1.) Start by kneeling in front of a horizontal bench with your forearms resting on the padding and holding a weighted barbell in both hands with a reverse grip.

2.) Slowly lower the barbell down below the bench as far as possible squeezing your forearms and hold for a count.

3.) Then return back to the starting position.

4.) Repeat for as many reps and sets as desired."
89b219a7-04f3-4013-bbd8-7fc307e28fec,cable behind the back wrist curl,intermediate,forearms,machine - Strength,lower arms,forearms,"Steps :

1.) Start by setting up either a straight or EZ bar on a low pulley cable machine and grab the bar behind your back using an underhand shoulder width grip.

2.) Keep your elbows tucked in at your sides and slowly raise the bar up, squeezing your forearms and hold for a count.

3.) Return back to the starting position.

4.) Repeat for as many reps and sets as desired."
3537a644-b5ed-42c1-9783-d54e842e69fe,cable reverse preacher curl,intermediate,forearms,machine - Strength,lower arms,biceps,"Steps :

1.) Start by setting up a straight bar on a low pulley cable machine with a preacher bench attached or bringing a preacher bench close to the machine.

2.) Grab onto the bar with a reverse grip and rest your arms on the padding.

3.) Slowly curl the bar straight up towards your shoulders, squeezing your forearms and hold for a count.

4.) Return back to the starting position.

5.) Repeat for as many reps and sets as desired."
889c855d-d914-4507-9e96-7cf2233f5822,cable reverse grip curl,intermediate,forearms,machine - Strength,lower arms,biceps,"Steps :

1.) Start by setting up either a straight or EZ bar on a low pulley cable machine and grab the bar using a reverse shoulder width grip.

2.) Keep your elbows tucked in at your sides and slowly raise the bar up towards your shoulders, squeezing your forearms and hold for a count.

3.) Return back to the starting position.

4.) Repeat for as many reps and sets as desired."
f6a99a4a-b8a0-472c-ad66-023bcf676900,dumbell alternating reverse curl,intermediate,forearms,dumbbell,lower arms,biceps,"Steps :

1.) Start by standing up straight, feet shoulder width apart and arms rested at your sides holding a dumbbell in each hand with a palms down reverse grip.

2.) Slowly with one arm elevate the dumbbell up to your shoulder, squeezing your forearm, and hold for a count.

3.) Return back to the starting position and repeat with the opposite arm.

4.) Repeat for as many reps and sets as desired."
61835246-fd43-4716-a53d-07fa47ec15ac,ketttlebell hang clean,advanced,forearms,kettlebell,lower arms,deltoids,"Steps :

1.) To begin this exercise; take a kettlebell in one hand and stand upright with the kettlebell next to your side.

2.) Take the kettlebell and swing it back then raise it to shoulder level.

3.) Repeat this exercise for as many repetitions as needed."
2462bc47-b5f0-4b42-a9c1-798d644b0744,weight plate hand squeeze,beginner,forearms,weight plate,lower arms,forearms,"Steps :

1.) Start by standing up straight with your feet shoulder width apart, arms at your side and one arm holding a weight plate at hip level.

2.) Lower the weight down so that your fingers are nearly extended but you are still able to hold onto the weight and hold this position for a count.

3.) Raise the plate back up to the starting position and repeat for as many reps and sets as desired."
925fb60a-21e8-4133-9031-4873ddb07efb,weight plate pinch,beginner,forearms,weight plate,lower arms,forearms,"Steps :

1.) To begin this exercise; start off by taking two weight plates and placing them together.

2.) Take your fingers and thumb and squeeze the plates together, holding the position for as long as possible.

3.) Repeat this exercise for as many repetitions as needed."
ecc29da1-26b9-4e75-bd7f-77220637a788,wrist circles,beginner,forearms,body only,lower arms,forearms,"Steps :

1.) Start by standing up straight with your feet shoulder width apart and your arms at your sides.

2.) Elevate your hands so that they are at about hip level and fully extended out in front of you.

3.) Begin to rotate your wrists in a forward circular motion, keeping the rest of your body still.

4.) Repeat for as many repetitions as desired."
42c14657-4b84-4b15-a4be-5778a465a745,arm circles,beginner,deltoids,body only,shoulders,forearms,"Steps :

1.) Start by standing up straight with your feet shoulder width apart and your arms extended out to your sides so that you create a ""T"" shape and should be parallel to the floor.

2.) Slowly make circles with your arms feeling a stretch in your shoulders as you continue to rotate in a circular motion.

3.) Continue this motion for 10 to 20 seconds then return to the starting position.

4.) Repeat for as many reps and sets as desired."
a6c6823e-293f-46c9-9644-6b0790be9c4d,barbell alternating press,advanced,deltoids,barbell,shoulders,triceps,"Steps :

1.) Begin by standing up straight with your feet shoulder width apart, holding a weighted barbell at waist level with an overhand grip.

2.) Then push the barbell up and above your head so that your arms are fully extended.

3.) Slowly lower the bar towards your upper chest so that it is almost touching, then immediately push it back up to the starting position.

4.) As soon as you reach this position, lower the bar back down behind your neck and hold for a count.

5.) Return back to the starting position.

6.) Repeat for as many reps and sets as desired."
090ec750-8548-476c-8730-25ab0f3632a4,barbell shoulder press,advanced,deltoids,barbell,shoulders,triceps,"The Barbell Shoulder Press primarily works on the deltoid muscles that make up the shoulder but also brings the surrounding muscles into play.

Steps :

1.) Begin in a standing position with feet hip-width apart and your toes pointing forward, keeping your back straight and your abs tight.

2.) Grab the barbell with an overhand grip and keep your hands shoulder-width apart.

3.) When bringing the barbell down towards your body, make sure that it is in line with your chin, hold for a count then push back upward over your head by extending your arms.

4.) When reaching the position above your head, pause and hold for a count, then return back to the starting position.

Tips :

1.) If you are experiencing any shoulder pain, then you should not perform this exercise.

2.) While performing this exercise, make sure that you do not hyperextend your back.

3.) If you have to lean backward during the exercise, use a lighter weight as you might injure your back.

4.) You can also perform this exercise with dumbbells."
5efaaa76-2e4f-47a0-9c04-ccb72e095022,barbell upright row,intermediate,deltoids,barbell,shoulders,triceps,"Targeting your traps and deltoids, the barbell upright row is an important shoulder strengthening exercise.

Steps :

1.) Start by standing up straight with your feet shoulder-width apart.

2.) Grab the barbell with an overhand grip (your palms facing towards you).

3.) Once you have a grip, raise the bar up towards your chin, elevating and contracting from your shoulders and traps, until it is about collar bone level.

4.) As soon as you reach the top position, hold for a count then slowly lower the bar back to the starting position.

Tips :

1.) If possible and available, try performing this exercise while using a rack, you will be able to rest the weight on the rack and pick it up from a more comfortable position without injuring yourself or pulling your muscles.

2.) Prevent dropping your shoulders

3.) Keeping your abs tight will help protect your back during the upright row.

4.) Using a shoulder-width grip and maintain good posture while performing this exercise is key.

5.) Holding onto the bar with a narrow grip will help target the trap muscles more but in turn will make you more prone to shoulder injury."
2101b45d-7694-4e68-8462-79f757516781,dumbell lateral raise,beginner,deltoids,dumbbell,shoulders,forearms,"The dumbbell lateral raise exercise helps build strong shoulders and muscle mass.

Steps :

1.) Start off standing up straight with your feet shoulder-width apart, keeping your abs tight and holding a dumbbell in each hand with your palms facing towards your body.

2.) Slightly bend at your knees and then slowly raise your arms at your sides until your palms face the floor.

3.) Once you reach the top position, hold for a count, squeezing your shoulder muscles then return back to the starting position.

Tips :

1.) You want to feel as if you are leading with your elbows.

2.) Refrain from swinging the weights as that is improper form and your shoulders should do the lifting, not by momentum."
852a3e58-b119-429f-98cc-03b2e21aeab9,dumbell alternating front raise,beginner,deltoids,dumbbell,shoulders,pectorals,"Steps :

1.) Start by standing up straight with a dumbbell in each hand with your palms facing inward towards your body.

2.) Slowly elevate one of the dumbbells up in front of you towards shoulder level and hold for a count.

3.) Return the dumbbell back to the starting position and repeat with the opposite arm.

4.) Repeat for as many reps and sets as desired."
